Name,Latitude,Longitude,Description,Type
Unnamed Bicycle Parking,1.2818535,103.8488835,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2798115,103.8526909,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.389933,103.8941729,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2997452,103.8741144,"Capacity: Unknown Capacity, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3931976,103.8976754,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3790867,103.8743456,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3528769,103.8668797,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3531299,103.9885629,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3510853,103.8483294,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3347009,103.8880773,"Capacity: 50, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2895873,103.8174563,"Capacity: 16, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3372196,103.6977817,"Capacity: 50, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3141012,103.6955874,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3370142,103.8394616,"Capacity: 16, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3265357,103.8077155,"Capacity: 36, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3384947,103.7063359,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3872539,103.8920425,"Capacity: 3, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.388349,103.8930549,"Capacity: 4, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.387255,103.8935076,"Capacity: 6, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.387193,103.8933696,"Capacity: 6, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3372049,103.8393676,"Capacity: 25, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3164169,103.8185213,"Capacity: 10, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3203869,103.8178025,"Capacity: 5, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3217784,103.814593,"Capacity: 80, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.320984,103.8143692,"Capacity: 6, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3155955,103.8149637,"Capacity: 4, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3122373,103.8120456,"Capacity: 5, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.384698,103.9016419,"Capacity: 10, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3881507,103.8972633,"Capacity: 4, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3881722,103.8971932,"Capacity: 6, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3930188,103.9145717,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3930686,103.9143489,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3947618,103.9122888,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4049096,103.9048369,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3977699,103.896233,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3978768,103.8961582,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3972793,103.8953955,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3979262,103.8962506,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3971468,103.8953728,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3964081,103.8912409,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3966743,103.8905245,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3959834,103.8896429,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3958136,103.8880097,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3956718,103.889213,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3952372,103.8879534,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3957263,103.8893253,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3953494,103.8878989,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3953783,103.8879627,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.395621,103.8880133,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3959615,103.8885141,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3974294,103.8894912,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.39835,103.8882544,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3985306,103.8883473,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.398705,103.8886576,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.398576,103.8885051,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3945406,103.8909992,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3929266,103.895926,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3440674,103.8780479,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3194499,103.8633672,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3551235,103.9552306,"Capacity: Unknown Capacity, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3929218,103.8921683,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3937603,103.8910343,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3925335,103.8922126,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3931606,103.8911522,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
