Name,Latitude,Longitude,Description,Type
Marina Barrage,1.280383,103.87146,Postal Code:: 7VJC+5H4 Singapore<br>Latitude:: 1.280383<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: Marina Barrage<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.87146,Verified
Jurong Regional Library,1.3329,103.7395,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWWIjsdF7xBWB-DnXQQ4il7S8Ui99w_2v2FWmz1Fs22XXPzl02YVXhEN_qsQpOM0x94J8eMzZdcWe3mAImNSnSiQCfDGZhubvPl0NN3QjmLqxNBoytmJGTP0juI4wOqPJaiyYSmnDNpMJSdWeDWU22tnBhUL9ZAMbfQmFUmRAsl8sW90rchkYQaecqTenvYmnGmPPa667SGAQ3dgergWpGz0pmXToEnZsa6sf7D2xAy7FDNW89awlqECZk?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 609732<br>Latitude:: <br>Level:: 3<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NLB<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: ",Verified
Jurong East Bus Interchange,1.3359,103.7426,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWpGiUiWCK8SdBP5FvfmqXk2IUTGNnvm-SXfrD6P7TRKf65FuIDl8VJqcOQUEBy4Y9qIKH9X6SFMt-AJ8KpqvRgLdiJgFKOvAQXfKjHx1Kuj5l3iW3HsoiPHPbRTmWzbUxkB_6521bfyksFxNj6VojDW7d3v0kzGSj_6daUBwgherDEqzSnlKp5nGI503tFkFoS7Rsh7vU9AHBKFH2gVcaazTmbmODliNCepLLxYVys9dIRdb_v-a1U3ks?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 8PJR+W6 Singapore<br>Latitude:: <br>Level:: 1<br>Description:: Outside NTWU Canteen<br>Temperature of water:: Cold<br>Operator:: Tower Transit<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: ",Verified
Jurong Point,1.34011,103.70557,"Postal Code:: 648886<br>Latitude:: 1.34011<br>Level:: 3<br>Description:: Pantry near Mongkok Toilets<br>Temperature of water:: Cold, Hot<br>Operator:: Jurong Point<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.70557",Verified
Changi Airport Jewel: Muji,1.3607183,103.9893059,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUQlR472m6g8YiD9VOjtzvVxEAYUxXVbWecZFGWSr-MH0rLa4g9FSciauy1muoCyOeDZHqbhwir5acbN4mwgTcTZA4nwetwDXCURiG5V_3iQhIy9shGl1DBAgsntLTHuB4D-hzMcMbAf3jUDzlFJyygkHTDEGDOX-qEsB-onAcKI0DEtEty5wGYhYxQmtV8Tvrn_YTw0kd-SPofocHP-ZoA_g4Oe9cd9o5xqYnFluMFuqodWWzpJU1Hm8Y?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 9X6Q+7PM Singapore<br>Latitude:: 1.3607183<br>Level:: 3<br>Description:: Inside Muji Shop<br>Temperature of water:: Cold, Hot<br>Operator:: MUJI<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.9893059",Verified
Bird Paradise: Entrance (Non-Ticketed),1.408349,103.780777,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWKYqa4fB3RE_-1seEQ2NH6BshXqpWgmBx90nDNgdhJ-8mIAwXfh9yNNx8dRe7GlKoVh5eToikLmVy5g-gL7DYHm0C2nPT9xoMcFPDauNtJLwK23gYHXvGYIWMvXqh9gqOYjCn-0OhD2SfxMqMTNE4KyChO5xyBGBt2XflHDMblRfWfsdoQ_N4P_GfzADIwUKiiYB7CMa_YRLsxNnXAnf4-KojugnNpPL4PmyFAQyVcLjwIHa07CF4snqI?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: CQ5J+88J Singapore<br>Latitude:: 1.408349<br>Level:: 2<br>Description:: Outside public toilets, next to escalator. Infront of Ephermeral Statue<br>Temperature of water:: Room Temperature<br>Operator:: Mandai Wildlife Reserve<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.780777",Verified
Bukit Timah Plaza: Fairprice Finest ,1.33816,103.77822,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAXh2G1QxBRWraSNjX-yTxgo-zjNM1-mxHP8rXwpYVzYqbdA0tudw4WcgBaR8JPG3z9ObfhjbdoaIwV58bU-hxzh1Hm9OW9nsJXiiIGCq1dQkWCie4eDXwAhFya5bse3izwkv-THrVKOsCidcvQnTDda5PnESh6BJ3Xw5OtIX9RXZ69CwobrDx3c2kqrVOXk0B6P4AnAS8HaTKriTgDAt5y0RqJ19vP8RuFy8J4HeEUDjoSFoC3mHvMKP1U?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 588996<br>Latitude:: 1.33816<br>Level:: B3<br>Description:: Next to carpark entrance, right in front of travellator leading to B2<br>Temperature of water:: Cold, Hot<br>Operator:: NTUC<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.77822",Verified
Esplanade,1.289629,103.855902,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAV5TCxp8iO4OGgCrNAWAJ1NWz8jjqEnRUUGgIajFGYJmGbavn4EhqmiQx-gXpc0GmZLncALXc8cBzMvlwFJIIX-bBe2vJZtwjjDyjXNVjf_LM7Bdh26a_1EXmO4-JzcMQpL9p54o7iTV0gDp2SDiKEXDlCCeFE585zheHt2gG2h6wTJkPHCy6_1-8CNBboiuaAybCaR0P8Og-hPHmzl2a7r0eYjl_iPXtcSU879ASdtch3f9EiyXcpYFvg?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 7VQ4+V92 Singapore<br>Latitude:: 1.289629<br>Level:: 2<br>Description:: Outside public toilets (Next to escalator)<br>Temperature of water:: Room Temperature<br>Operator:: Esplanade Company<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.855902",Verified
Bukit Timah Market & Food Centre,1.33937,103.77574,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVulCX6DSuh5osMh9wEWgn-OcIW-hA1cUP_x1BvYA3UtwhFVxI94IAhXFXbrRVKuKkHgA5KASAUFng9rlD2WvVaY4Pn_3rLqNmAilwlx2zmdwx5R_SwVze2veZ6GYIuw2ASUbSHgEdMqSWnCGFO7aGUbgwtLxqFBLJanI6J8eVgdtJ8zR18alEe54iWSxHKL6gMx5ESxEaVdafVzWDalKzFJQuxXFqXziW_vtE2QnMi_ELGCVbRm9JlpS4?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 8QQG+P7X Singapore<br>Latitude:: 1.33937<br>Level:: 2<br>Description:: Next to the link bridge<br>Temperature of water:: Room Temperature<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.77574",Verified
Jurong Lake Gardens: Clusia Cove,1.340249,103.724434,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVeNIPYQx8--FQmGzb76B3QxS92CpG3wrqWtu8M1VxJWJNEV1wnfYkXZS0Ptm_5qOQhIMEko1PR8K98uEg0IEGNmFQnCONHVweWg5KOIJnCLStq1OKIAn9_4Lyq4t3L97qRjEnuBcfWoljMv-EnaISXskWSoAAPwPai7pXDbjMyQ8FjlbwLf8poCaC7pb7mCdUpXcm4PfM1HUGFKcpmJeSHEXbSG8FgFCwlMQd_CMc8d8XHUqKMitvT0ck?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 8PRF+3QV Singapore<br>Latitude:: 1.340249<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Photo<br>Longitude:: 103.724434",Verified
Jurong Lake Gardens: PassionWave,1.33894,103.727368,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUtT1S1OwF4hXM0AVb-aawVVaytWmyqXMezP5DGSCNbON1tVJzfnIa8Y2Vya3bruFg0n9uj_ob6KzumdRrIDlXvGmZkfY3pCzIW0XV2AOtqmXadpj12y7e8vBXhUr_cNnnhskdzzjDQluEb2z5ugh95IKfO4yCwiHbDMjGzw-BlPiEY1NjeeL30LkyuSJi15lal1JOSzyuFz465ruZ_BLi9wREjmvGdptCcO2Kf14jzL6N26-b4skMP_c8?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 8PQG+HWH Singapore<br>Latitude:: 1.33894<br>Level:: 2<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Photo<br>Longitude:: 103.727368",Verified
Railway Corridor - Masjid Heng Jebat,1.2896,103.7985,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWgFuaYw40OTaZAdbzHh9rE9o07-7B_LLBzAW9XMHFb3-Su18YOEU0ZQK6xIHnQaqEz2kS3iPU0t1GM7csw8TaotdfQVA_E7DAxM00JqTsJO2BHns6G-muPk3s19w5rvSQsEEPXvYutF_gwCXOFJjxz-IGUNDWcLScC66ckaSGLJMMsnoJkuLAbUuuclS5GmHGQCCCFuhEA0CWSaWd89ANjfoB52AoZNtkB_n5ylyJirtTSSHGrGVNNocI?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 7QQX+RH Singapore<br>Latitude:: <br>Level:: 1<br>Description:: Masjid Heng Jebat along the Southern Rail Corridor<br>Temperature of water:: Cold<br>Operator:: Masjid Hang Jebat Mosque<br>Source:: Google Forms<br>Verified:: Verified: Photo<br>Longitude:: ",Verified
Jean-Marie Beurel Centre ,1.2956218,103.8507674,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAW-XLzMOtqT-iKO3wo3iyWOcYCQIIvfj3nV9jrYi87XP0PRjYfnJ5Q6tUVWvyeZourAIrWN9oLRZ3EZ1AnbT0wOZwlSF9cQmOWAdMFbithiSX8qDGt3Y_TphxS9nSwuV0RWcf9TdXf1MclctzhFK-1xpwE_7HNzboHGqCqYxQIm9mBUDWyfdhWFRy2KzBo9rZeXnyDCPW37IBfgk-ntJTGNzA10mQBfn1ETRN7Xt5_fSqqK30Mn6N0sLqI?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 188533<br>Latitude:: 1.2956218<br>Level:: 1<br>Description:: Outside the Cathedral Heritage Gallery<br>Temperature of water:: Cold<br>Operator:: Cathedral of the Good Shepherd<br>Source:: Google Forms<br>Verified:: Verified: Photo<br>Longitude:: 103.8507674",Verified
"NUS: Residential College 4, University Town",1.3082,103.7734,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWkAhojLxwYz8YIrWhz-8YDwgGqx9jtFuOLy9Wot_Mf_iuHYSfDFfzRNdO34VvW9YVJMBfwSwQ09CWJoZ_4qthpG2In_KiXLKJ5Scdx_kqKpMPpkPTIyfq7jhH0a5zW1QXm4AIw6wprGC0ZfWySh6FnmOxOyvaxP-lFigIxgM063e-UzFbNEl5YBqTQmp2n2YcsMnjYNcbydNCAU8IktPDX4_Ds0yaVGjzakZeOMYv-Tjey5aGFLsXqbNc?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 138614<br>Latitude:: <br>Level:: <br>Description:: Outside public toilets and next to a vending machine<br>Temperature of water:: Cold, Hot, Room Temperature<br>Operator:: NUS<br>Source:: Google Forms<br>Verified:: Verified: Photo<br>Longitude:: ",Verified
Shenton Way Bus Terminal,1.274658309,103.8474874,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUjoRpWGpKlABGSwiJ-i5NLC0B8u9gqfxgiNDFSp5rOL6f-0qbdFtCooEqwOQ_t5WBc3AM1R9LCnbYftc26x_1J7bmqR3mMsVDo_Ed2qJWw8C0qtftA8TreElUcAqLJP2vMXCw9GfNAX1ewGLTingmHPh1jagbg46likBP7zIVk_Et94e62qb6pHlRxKdfQ5Ms5JxpElLttj5kZR2SkaYZtrzOyWlclShyYF56ks3FS3xOd8K77sUJV6zY?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 7RFW+VX Singapore<br>Latitude:: 1.274658309<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold, Hot<br>Operator:: SBS Transit<br>Source:: Google Forms<br>Verified:: Verified: Photo<br>Longitude:: 103.8474874",Verified
