Name,Latitude,Longitude,Description,Type
Winsor Nature Park,,,Postal Code:: 573858<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NPark<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Clementi Woods Park,1.29871,103.768317,Postal Code:: 129781<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.29871<br>Longitude:: 103.768317,Verified
Kent Ridge Park,1.283503,103.791071,Postal Code:: 7QMR+9C7 Singapore<br>Level:: 1<br>Description:: Outside public toilets (Green rooftop + beige walls)<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.283503<br>Longitude:: 103.791071,Verified
Hortpark: Hands On House building,1.279349,103.798106,Postal Code:: 7QHX+P6Q Singapore<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.279349<br>Longitude:: 103.798106,Verified
NUS: LT 4,1.297772,103.773209,"Postal Code:: 7QXF+474 Singapore<br>Level:: <br>Description:: Outside public toilets at LT4<br>Temperature of water:: Cold, Hot<br>Operator:: NUS<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.297772<br>Longitude:: 103.773209",Verified
Chestnut Nature Park,1.371657,103.779822,Postal Code:: 9QCH+MW8 Singapore<br>Level:: 1<br>Description:: Outside public toilets (Next to bicycle shop)<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.371657<br>Longitude:: 103.779822,Verified
Zhenghua Nature Park,1.386156,103.772975,Postal Code:: 9QPF+F59 Singapore<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.386156<br>Longitude:: 103.772975,Verified
Promenade Riverside Walk Toilet,1.393717531,103.9183716,Postal Code:: 9WV9+F8Q Singapore<br>Level:: 1<br>Description:: Outside public toilets (Red building)<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.393717531<br>Longitude:: 103.9183716,Verified
Marina One West Tower,,,Postal Code:: 018937<br>Level:: B1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: Marina One Building Mgmt<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Marina One East Tower,,,Postal Code:: 018936<br>Level:: B1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: Marina One Building Mgmt<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Alliance Francaise,,,"Postal Code:: 258130<br>Level:: 2, 3<br>Description:: Near the staircase behind<br>Temperature of water:: Cold<br>Operator:: Alliance Francaise Building Mgmt<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
"Opp Blk 321, Hougang Ave 7",,,Postal Code:: 530321<br>Level:: 1<br>Description:: Water point is near to bus stop<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Hong Kah North Community Club,1.3591396,103.7494832,Postal Code:: 9P5X+MQ5 Singapore<br>Level:: 1<br>Description:: Between main office and CC hall<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.3591396<br>Longitude:: 103.7494832,Verified
